1 AV _ L,UNION SQ/GRAMERCY
103 ST _ 1,UPPER WEST SIDE
103 ST _ 6,UPPER EAST SIDE
103 ST _ BC,UPPER WEST SIDE
110 ST _ 6,HARLEM/EAST HARLEM
116 ST _ 23,HARLEM/EAST HARLEM
116 ST _ 6,HARLEM/EAST HARLEM
116 ST _ BC,MORNINGSIDE HEIGHTS
116 ST-COLUMBIA _ 1,MORNINGSIDE HEIGHTS
125 ST _ 1,MORNINGSIDE HEIGHTS
125 ST _ 23,HARLEM/EAST HARLEM
125 ST _ 456,HARLEM/EAST HARLEM
125 ST _ ACBD,MORNINGSIDE HEIGHTS
135 ST _ 23,HARLEM/HAMILTON HEIGHTS
135 ST _ BC,HARLEM/HAMILTON HEIGHTS
137 ST CITY COL _ 1,HARLEM/HAMILTON HEIGHTS
14 ST _ 123FLM,CHELSEA
14 ST _ ACEL,CHELSEA
14 ST _ FLM123,CHELSEA
14 ST-UNION SQ _ 456LNQR,UNION SQ/GRAMERCY
145 ST _ 1,HARLEM/HAMILTON HEIGHTS
145 ST _ 3,HARLEM/HAMILTON HEIGHTS
145 ST _ ABCD,HARLEM/HAMILTON HEIGHTS
155 ST _ BD,HARLEM/HAMILTON HEIGHTS
155 ST _ C,HARLEM/HAMILTON HEIGHTS
157 ST _ 1,HARLEM/HAMILTON HEIGHTS
163 ST-AMSTERDM _ C,WASHINGTON HEIGHTS
168 ST _ 1AC,WASHINGTON HEIGHTS
175 ST _ A,WASHINGTON HEIGHTS
18 ST _ 1,CHELSEA
181 ST _ 1,WASHINGTON HEIGHTS
181 ST _ A,WASHINGTON HEIGHTS
190 ST _ A,WASHINGTON HEIGHTS
191 ST _ 1,WASHINGTON HEIGHTS
2 AV _ F,EAST VILLAGE/LES
207 ST _ 1,INWOOD
215 ST _ 1,INWOOD
23 ST _ 1,CHELSEA
23 ST _ 6,UNION SQ/GRAMERCY
23 ST _ CE,CHELSEA
23 ST _ FM,CHELSEA
23 ST _ NR,UNION SQ/GRAMERCY
28 ST _ 1,CHELSEA
28 ST _ 6,UNION SQ/GRAMERCY
28 ST _ NR,UNION SQ/GRAMERCY
3 AV _ L,UNION SQ/GRAMERCY
